Hello,Hey!
Hi,Hello there!
How are you,I am well. How are you?
I am goo,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I am goo'>I am goo</a>
I am good,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I am good'>I am good</a>
ok,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=ok'>ok</a>
thank you,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=thank you'>thank you</a>
bye,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=bye'>bye</a>
Hello,Hello to you!
Hello,Hello to you!
Hello,Hi there!
Hello,It's nice to see you!
hey,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
hello,It's nice to see you!
Hello,Hi there!
Hello,Hey!
i,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=i'>i</a>
Hello,Hello to you!
Hello,Hey!
Hello,Hello to you!
what time is it?,The time is now 7:26 PM EST
TIme,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=TIme'>TIme</a>
what day is it?,"Today is Saturday, 7/18/2020"
Hello,It's nice to see you!
what time is it?,The time is now 7:29 PM EST
Hello,Hi there!
Picture,"<img src=""/static/Penguins.jpg"" >"
Hello,Hi there!
Hello,Hi there!
Nothing,Let's talk about something.
Nothing,Let's talk about something.
Nothing,What did you want to ask?
Nothing,What?
Nothing,What?
Nothing,Let's talk about something.
Nothing,Let's talk about something.
Hello,Hi there!
Good night,Good night! Sleep well
morning,Good morning! Have a nice day!
Hello,Hello to you!
Hello,Hi there!
Nothing,Let's talk about something.
Hello,It's nice to see you!
Hello,Hey!
hi,Hello there!
